hour,Mon,Die,Mit,Do,Fr,Sa,So
0,18.5,18.5,18.7,18.8,18.8,19.8,20.2
1,18.3,18.5,18.7,18.7,18.8,19.5,19.7
2,18.2,18.2,18.3,18.5,18.5,19.2,19.3
3,17.5,17.3,17.5,17.7,17.8,18.7,18.7
4,16.8,16.8,16.8,17,17.2,18,18.2
5,17.7,17.7,17.7,17.5,17.5,17.8,18
6,20.2,20.5,20.2,20.2,19.3,18,17.8
7,24.3,25.2,24.8,24.5,22.5,18.2,18
8,27.2,28.7,28.2,27.8,23.5,19,18.3
9,24.7,26.5,25.8,25.8,22.8,20.2,19.5
10,23.2,24,23.7,23.8,23.2,21.7,20.5
11,23.2,23.7,23.5,24,24,23,21.7
12,23.5,23.8,24,24.7,25.5,23.8,22.5
13,23.5,23.8,24.2,24.8,26.8,24.3,23
14,24.2,24.8,25,26,27.8,24.8,23.5
15,25.8,27,27,28.3,28,24.7,23
16,26.7,28.5,28.5,29.8,26.8,24.2,23
17,26.3,28.3,28.7,29.7,25.8,24,22.8
18,24.3,25.8,26.3,27,24.5,24,22.3
19,21.7,22,22.5,22.8,22.8,22.8,21.3
20,20.5,20.5,20.8,20.8,21.7,21.8,20.5
21,19.7,20,20.2,20.3,21.2,21.2,19.7
22,19.3,19.5,19.8,20,21,21.2,19.3
23,18.7,18.8,19.2,19.3,20.7,20.8,18.7
