hour,Mon,Die,Mit,Do,Fr,Sa,So
0,17.3,17.5,17.8,17.7,17.7,18.3,18.5
1,17.5,17.5,18,17.7,17.7,18.2,18.2
2,17.3,17.3,17.7,17.5,17.7,18.2,18.2
3,16.8,16.8,17.2,17,17.2,17.8,18
4,16.3,16.3,16.5,16.5,16.5,17.3,17.5
5,17,17,17,17,16.8,17,17
6,19.5,19.5,19.3,19.3,19,17.2,16.8
7,23.5,23.5,23.2,23.2,22,17.3,17
8,25.7,25.7,25.2,25,22.8,18,17.3
9,23.3,23.8,23.3,23.2,22,19.2,18
10,22.3,22.5,22.2,22.5,22.2,20.3,18.8
11,22.5,22.5,22.3,22.7,22.8,21.5,19.7
12,22.7,22.8,22.8,23,24.2,22.5,20.3
13,22.7,23,23,23.2,25.5,22.8,21
14,23,23.5,23.5,23.8,26.5,23,21.3
15,24.5,25.3,24.8,25.7,26.7,22.7,21.2
16,25.7,26.7,25.8,27,25,22,20.8
17,25.2,26.2,25.7,26.7,23.7,21.7,20.8
18,22.8,23.8,23.5,24.3,22.5,21.5,20.7
19,20.5,20.8,21,21.3,21.3,20.8,19.8
20,19.3,19.5,19.7,19.7,20.2,20.2,19.2
21,18.5,18.7,18.7,18.8,19.3,19.2,18.3
22,18,18.2,18.3,18.5,19,19.2,18
23,17.7,17.8,17.8,18.2,18.7,18.8,17.5
