hour,Mon,Die,Mit,Do,Fr,Sa,So
0,17.3,17.5,17.8,17.8,18,18.7,19
1,17.3,17.3,18,17.7,17.8,18.3,18.5
2,17.3,17.3,17.7,17.7,17.7,18.2,18.2
3,17,16.8,17.3,17.2,17.2,17.8,17.8
4,16.3,16.5,16.5,16.5,16.5,17.3,17.3
5,17.2,17,17,17,17,17.2,17
6,20.2,20.2,19.8,19.8,19.3,17.2,17.2
7,24.8,25,24.5,24.3,23,17.3,17.3
8,28,28.3,27.5,27.3,24.7,18,17.7
9,25.7,26,25,25.2,23.2,19.3,18.7
10,23.5,23.7,23.2,23.3,23,20.7,19.7
11,23,23.2,22.8,23.2,23.5,21.8,20.5
12,23,23.3,23.3,23.7,25,22.5,21.3
13,23,23.2,23.5,23.7,26.3,22.8,21.8
14,23.5,24,24.2,24.5,27.5,23.2,22.3
15,25.8,26.8,26.5,27.3,28.3,23.2,21.8
16,27.3,28.8,28.5,29.5,26.7,22.5,21.7
17,27.7,29.5,29.2,29.8,25.7,22.3,21.8
18,25.5,27,27,27.5,24.3,22.3,21.5
19,21.3,22,22.2,22.5,22.3,21.3,20.3
20,19.7,19.8,20.2,20,20.8,20.7,19.5
21,18.8,19,19.2,19.3,20,19.8,18.7
22,18.3,18.7,18.8,19,19.7,19.8,18.2
23,17.8,18.2,18.2,18.3,19.2,19.5,17.7
