hour,Die,Do,Fr,Mit,Mon,Sa,So
0,4,5,5,5,4,9,12
1,3,4,4,5,3,7,8
2,3,3,3,4,3,5,6
3,1,2,2,3,2,3,4
4,1,1,1,1,0,2,2
5,7,6,6,6,8,3,1
6,25,23,20,23,25,5,2
7,53,49,41,50,53,6,5
8,72,66,49,67,70,11,8
9,56,51,39,51,54,18,14
10,42,41,38,39,42,26,20
11,39,40,42,37,38,33,25
12,40,42,51,40,39,36,30
13,40,43,59,42,39,39,33
14,45,48,67,46,42,41,36
15,62,65,71,60,56,40,33
16,74,78,62,71,65,36,32
17,77,80,55,76,67,35,33
18,62,65,46,61,53,34,30
19,31,35,33,32,28,27,23
20,19,20,24,20,17,23,17
21,14,15,19,15,13,18,13
22,12,13,17,13,10,18,10
23,8,9,14,8,6,15,6
