hour,Die,Do,Fr,Mit,Mon,Sa,So
0,4,4,4,4,4,11,13
1,3,2,3,3,3,7,9
2,2,2,2,2,2,5,6
3,0,0,0,0,0,3,4
4,-1,-1,-1,-1,-1,1,2
5,6,5,5,5,6,2,1
6,22,19,15,20,20,4,1
7,47,43,31,45,42,6,4
8,65,61,36,63,56,11,7
9,52,48,31,48,42,18,13
10,38,37,33,36,33,26,19
11,35,38,38,35,33,33,26
12,37,41,47,37,35,38,31
13,37,42,54,39,35,41,33
14,42,49,60,44,39,43,36
15,55,62,61,55,48,41,33
16,63,70,54,63,53,38,32
17,62,69,48,64,51,37,32
18,46,54,40,50,39,36,29
19,25,29,30,27,23,30,22
20,17,18,23,18,16,24,17
21,14,15,20,14,12,19,13
22,11,14,19,13,10,20,11
23,6,9,16,8,6,18,6
