hour,Die,Do,Fr,Mit,Mon,Sa,So
0,4,5,5,6,4,8,9
1,4,4,4,6,4,7,7
2,3,4,4,5,4,6,6
3,2,2,3,3,2,4,5
4,2,1,2,2,2,3,3
5,7,7,6,7,8,4,2
6,22,21,18,21,22,5,2
7,45,43,35,43,45,7,4
8,57,53,39,53,56,11,7
9,44,41,33,41,42,18,11
10,36,36,35,34,35,24,16
11,36,37,38,35,36,32,21
12,38,39,47,38,37,37,25
13,39,40,55,39,37,39,28
14,43,45,61,42,40,40,31
15,54,55,61,50,49,37,29
16,61,63,51,56,55,33,27
17,58,61,43,55,52,31,27
18,44,47,36,42,38,29,25
19,25,28,28,26,23,25,21
20,17,18,21,18,16,20,16
21,12,13,16,13,12,15,12
22,10,11,14,10,9,14,9
23,6,8,11,7,6,12,6
