hour,Die,Do,Fr,Mit,Mon,Sa,So
0,4,5,5,5,4,9,10
1,4,4,4,4,3,6,7
2,4,3,3,4,3,5,5
3,3,2,2,2,2,3,4
4,2,1,1,1,1,2,2
5,7,6,6,6,7,3,2
6,21,19,17,20,21,5,2
7,42,40,33,40,41,7,4
8,53,50,37,50,52,11,7
9,42,41,34,39,41,17,12
10,37,37,36,36,35,24,18
11,38,38,40,37,36,31,24
12,40,42,50,41,38,37,29
13,41,43,58,42,38,41,32
14,45,49,65,47,42,44,35
15,55,59,65,56,50,41,33
16,61,66,57,62,54,36,31
17,59,61,50,60,50,34,31
18,46,47,42,45,38,32,28
19,27,28,31,27,24,26,22
20,18,19,23,18,17,22,17
21,13,14,17,14,12,17,12
22,10,11,15,11,9,15,9
23,6,8,12,7,6,14,5
